device_id,time_start,time_end,activity,km,dir,min,km/h,points,ol_line_type,ol_line_name,nl_line_type,nl_line_name,st_line_type,st_line_name
174,"2016-08-26 11:18:23","2016-08-26 11:20:53",IN_VEHICLE,1,SW,3,15,13,,,,,,
174,"2016-08-26 11:21:26","2016-08-26 11:36:31",WALKING,1,W,15,4,27,,,,,,
174,"2016-08-26 11:38:53","2016-08-26 11:50:59",IN_VEHICLE,7,NE,12,36,25,,,,,,
174,"2016-08-26 11:54:05","2016-08-26 12:03:32",WALKING,0,NE,9,1,27,,,,,,
174,"2016-08-26 13:17:08","2016-08-26 13:23:38",WALKING,1,N,6,10,13,,,,,,
174,"2016-08-26 13:28:54","2016-08-26 13:37:27",WALKING,2,SW,9,17,26,,,,,,
174,"2016-08-26 13:43:04","2016-08-26 13:47:14",ON_BICYCLE,0,NW,4,2,15,,,,,,
174,"2016-08-26 13:47:25","2016-08-26 13:51:36",WALKING,0,S,4,2,16,,,,,,
174,"2016-08-26 14:02:42","2016-08-26 14:39:19",WALKING,6,W,37,10,106,,,,,,
174,"2016-08-26 14:40:46","2016-08-26 14:50:51",IN_VEHICLE,5,SW,10,32,34,,,SUBWAY,V,SUBWAY,Kamppi - Mellunmäki
174,"2016-08-26 14:59:39","2016-08-26 15:03:56",WALKING,0,SW,4,2,15,,,,,,
174,"2016-08-26 15:08:38","2016-08-26 15:24:01",IN_VEHICLE,2,SW,15,6,59,TRAM,9,TRAM,9,TRAM,9
174,"2016-08-26 15:34:32","2016-08-26 15:37:11",WALKING,0,N,3,10,13,,,,,,
174,"2016-08-26 15:37:43","2016-08-26 15:40:10",IN_VEHICLE,0,N,2,8,13,,,,,,
174,"2016-08-26 15:40:52","2016-08-26 15:44:16",ON_BICYCLE,0,NW,3,3,14,,,,,,
178,"2016-08-26 11:30:55","2016-08-26 11:33:05",WALKING,0,NW,2,4,11,,,,,,
178,"2016-08-26 11:45:26","2016-08-26 11:50:26",IN_VEHICLE,4,NE,5,47,10,,,,,,
178,"2016-08-26 11:53:46","2016-08-26 11:58:55",WALKING,0,NE,5,1,19,,,,,,
178,"2016-08-26 12:00:34","2016-08-26 12:02:11",IN_VEHICLE,0,W,2,0,6,,,,,,
178,"2016-08-26 13:13:50","2016-08-26 13:21:34",WALKING,0,SW,8,2,27,,,,,,
178,"2016-08-26 13:24:53","2016-08-26 13:43:30",IN_VEHICLE,4,NE,19,12,86,,,,,BUS,95
178,"2016-08-26 13:44:23","2016-08-26 13:57:30",WALKING,1,W,13,5,40,,,,,,
178,"2016-08-26 13:59:21","2016-08-26 14:25:50",IN_VEHICLE,3,S,26,7,90,,,BUS,560,,
178,"2016-08-26 14:26:10","2016-08-26 15:03:54",WALKING,1,E,38,2,171,,,,,,
178,"2016-08-26 15:27:41","2016-08-26 15:50:48",WALKING,0,SW,23,1,45,,,,,,
178,"2016-08-26 15:50:58","2016-08-26 15:59:24",IN_VEHICLE,1,S,8,10,40,,,,,TRAM,9
179,"2016-08-26 09:15:34","2016-08-26 09:38:14",IN_VEHICLE,9,E,23,23,105,,,,,,
179,"2016-08-26 09:39:18","2016-08-26 09:47:20",WALKING,0,SW,8,2,23,,,,,,
179,"2016-08-26 13:07:01","2016-08-26 13:11:50",WALKING,0,NE,5,2,9,,,,,,
179,"2016-08-26 14:59:05","2016-08-26 15:03:28",WALKING,0,E,4,4,17,,,,,,
179,"2016-08-26 15:03:39","2016-08-26 15:19:54",IN_VEHICLE,2,NW,16,7,41,,,,,,
179,"2016-08-26 15:26:52","2016-08-26 15:44:38",IN_VEHICLE,8,W,18,26,94,,,,,,
179,"2016-08-26 15:47:10","2016-08-26 15:48:34",WALKING,0,SW,1,4,7,,,,,,
180,"2016-08-26 10:14:21","2016-08-26 10:15:47",WALKING,0,S,1,3,9,,,,,,
180,"2016-08-26 10:17:00","2016-08-26 10:23:55",IN_VEHICLE,0,NW,7,4,25,TRAM,9,TRAM,9,TRAM,9
180,"2016-08-26 10:24:38","2016-08-26 10:30:53",WALKING,0,NW,6,0,24,,,,,,
180,"2016-08-26 10:31:03","2016-08-26 10:35:25",IN_VEHICLE,3,S,4,40,12,,,,,,
180,"2016-08-26 10:35:35","2016-08-26 10:38:48",WALKING,0,S,3,4,17,,,,,,
180,"2016-08-26 10:44:22","2016-08-26 10:54:44",IN_VEHICLE,1,NE,10,6,38,TRAM,9,TRAM,9,TRAM,9
180,"2016-08-26 10:56:00","2016-08-26 11:01:14",WALKING,0,E,5,1,14,,,,,,
180,"2016-08-26 11:07:46","2016-08-26 11:14:48",IN_VEHICLE,1,NE,7,10,31,BUS,72,BUS,72,BUS,611
180,"2016-08-26 11:26:23","2016-08-26 11:42:24",IN_VEHICLE,10,E,16,36,55,SUBWAY,V,SUBWAY,M,,
180,"2016-08-26 11:43:31","2016-08-26 11:51:53",WALKING,0,E,8,0,36,,,,,,
180,"2016-08-26 11:52:35","2016-08-26 12:00:18",IN_VEHICLE,4,W,8,28,17,,,,,SUBWAY,Ruoholahti - Vuosaari
180,"2016-08-26 12:00:48","2016-08-26 12:03:26",WALKING,0,E,3,2,9,,,,,,
180,"2016-08-26 13:13:14","2016-08-26 13:33:50",WALKING,0,S,21,1,52,,,,,,
180,"2016-08-26 13:44:39","2016-08-26 13:47:59",WALKING,0,SW,3,4,17,,,,,,
180,"2016-08-26 13:48:41","2016-08-26 14:04:30",IN_VEHICLE,6,W,16,24,82,BUS,550,BUS,550,BUS,550
180,"2016-08-26 14:05:33","2016-08-26 14:07:09",WALKING,0,SW,2,3,8,,,,,,
180,"2016-08-26 14:16:33","2016-08-26 14:44:31",WALKING,10,N,28,20,101,,,,,,
180,"2016-08-26 14:50:01","2016-08-26 14:55:16",IN_VEHICLE,3,N,5,39,17,,,,,TRAIN,I
180,"2016-08-26 15:15:36","2016-08-26 15:24:24",IN_VEHICLE,6,S,9,42,42,,,,,,
