"time","device_id","lat","lng","accuracy","activity_1","activity_1_conf","activity_2","activity_2_conf","activity_3","activity_3_conf"
"2016-08-26 09:13:33.362",5,60.207205,24.753462,5,"STILL",69,"UNKNOWN",18,"IN_VEHICLE",12
"2016-08-26 09:13:42.726",1,60.167521,24.772733,9,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:14:03.717",1,60.167518,24.772753,10,"STILL",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:14:07.253",3,60.18667,24.822961,29.0669994354248,"TILTING",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:14:17.366",3,60.186781,24.822795,37.5,"STILL",38,"UNKNOWN",35,"IN_VEHICLE",23
"2016-08-26 09:14:24.718",1,60.167577,24.773323,9,"STILL",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:14:34.717",1,60.167905,24.775219,10,"STILL",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:14:45.728",1,60.168256,24.778628,10,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:14:52.73",3,60.1868,24.823197,5,"STILL",46,"IN_VEHICLE",23,"UNKNOWN",23
"2016-08-26 09:14:55.718",1,60.16842,24.782435,10,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:15:05.722",1,60.168456,24.786267,10,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:15:07.947",5,60.207155,24.753636,10,"STILL",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:15:16.724",1,60.168417,24.790129,11,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:15:26.717",1,60.168469,24.793487,11,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:15:34.058",7,60.22046,24.81004,500,"TILTING",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:15:35.714",3,60.186853,24.823009,3.90000009536743,"TILTING",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:15:35.744",5,60.207085,24.753369,5,"UNKNOWN",54,"STILL",27,"IN_VEHICLE",16
"2016-08-26 09:15:36.718",1,60.168565,24.796779,10,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:15:43.026",7,60.220683,24.80824,17.2320003509521,"TILTING",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:15:45.747",3,60.186889,24.822799,4,"TILTING",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:15:46.718",1,60.168663,24.799605,9,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:15:53.202",7,60.22081,24.809385,4,"IN_VEHICLE",50,"UNKNOWN",25,"STILL",17
"2016-08-26 09:15:56.715",3,60.186878,24.822538,6,"WALKING",97,"ON_BICYCLE",3,"UNKNOWN",0
"2016-08-26 09:15:57.724",1,60.16878,24.802289,9,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:16:04.156",7,60.220835,24.810294,3.90000009536743,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:16:07.407",5,60.207231,24.752869,5,"STILL",29,"WALKING",27,"UNKNOWN",25
"2016-08-26 09:16:07.674",3,60.186832,24.822211,12,"WALKING",92,"ON_BICYCLE",8,"UNKNOWN",0
"2016-08-26 09:16:08.717",1,60.168805,24.80427,10,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:16:18.398",5,60.207364,24.752232,5,"STILL",29,"WALKING",27,"UNKNOWN",25
"2016-08-26 09:16:18.716",1,60.168811,24.804468,9,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:16:25.167",7,60.220827,24.81029,5,"STILL",69,"IN_VEHICLE",23,"UNKNOWN",5
"2016-08-26 09:16:28.719",1,60.16888,24.804862,9,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:16:29.38",5,60.207619,24.750956,5,"STILL",29,"WALKING",27,"UNKNOWN",25
"2016-08-26 09:16:38.721",1,60.168995,24.806687,10,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:16:39.389",5,60.208073,24.748797,5,"IN_VEHICLE",66,"STILL",12,"UNKNOWN",12
"2016-08-26 09:16:49.721",1,60.169124,24.809734,9,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:16:50.379",5,60.208647,24.746214,5,"IN_VEHICLE",85,"ON_BICYCLE",8,"STILL",8
"2016-08-26 09:16:51.617",3,60.186777,24.821622,23,"WALKING",85,"ON_BICYCLE",8,"UNKNOWN",8
"2016-08-26 09:16:57.148",7,60.220344,24.810533,7,"STILL",62,"IN_VEHICLE",31,"UNKNOWN",8
"2016-08-26 09:17:00.718",1,60.169424,24.81368,9,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
